# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	13972
#@/user_id	036845c7-2634-4d65-b057-ba3ac1d41d55
dang di 	當地	c=1 d=1 t=480
dang qian 	當前	c=3 d=1 t=11762
dang ran 	當然	c=3 d=1.55156 t=8852
dang ran na 	當然那	c=1 d=1 t=3554
dang shi 	當時	c=10 d=1.64358 t=12011
dang yong hu 	當用戶	c=1 d=1 t=2111
dao 	到	c=32 d=1.24652 t=12267
dao 	道	c=0 d=0.1 t=9056
dao bi 	倒閉	c=1 d=1 t=7101
dao da yi pa 	倒打一耙	c=1 d=1 t=12171
dao dan 	導彈	c=1 d=1 t=13512
dao dao 	叨叨	c=1 d=0.1 t=8798
dao di 	到底	c=2 d=1.00066 t=9261
dao hang 	導航	c=1 d=1 t=10512
dao jia 	到家	c=0 d=0.1 t=13855
dao jia ai 	到家哎	c=1 d=1 t=13856
dao le 	到了	c=4 d=1.02423 t=13740
dao mei 	倒霉	c=2 d=1.99005 t=8061
dao qi 	到期	c=1 d=1 t=4256
dao shi hou 	到時候	c=8 d=1.00015 t=10624
dao wei 	到位	c=1 d=1 t=8074
dao you 	導遊	c=1 d=1 t=1581
de 	的	c=722 d=10.9016 t=13967
de cuo 	的錯	c=1 d=1 t=8269
de dao 	得到	c=1 d=1 t=9848
de yao qiu 	的要求	c=1 d=1 t=8254
dei 	得	c=29 d=1.01803 t=11796
deng 	登	c=3 d=1.61147 t=10176
